N,Function 1 (s),Function 2 (s)
54,6.07708003371954e-05,0.00012517501600086688
55,6.361671257764101e-05,0.00012995828874409198
56,6.507919169962406e-05,0.00014639999717473983
57,7.11499946191907e-05,0.00014012078754603862
58,7.163749542087317e-05,0.0001451540971174836
59,7.315420079976321e-05,0.00015564581844955682
60,7.50834122300148e-05,0.00015587499365210533
61,8.048750460147858e-05,0.00016455829609185457
62,8.240831084549427e-05,0.0001689333003014326
63,8.610000368207693e-05,0.0001719416119158268
64,8.607918862253427e-05,0.00018337909132242202
65,8.862919639796019e-05,0.00018164999783039094
66,8.962920401245356e-05,0.00019152499735355377
67,9.66083025559783e-05,0.00020207089837640524
68,9.780409745872021e-05,0.00020006669219583273
69,9.819578845053911e-05,0.00020065831486135722
70,0.00010799590963870287,0.00021556250285357237
71,0.00010476671159267425,0.0002224374795332551
72,0.00010932500008493662,0.00022262500133365392
73,0.00011680000461637974,0.00022872078698128463
74,0.0001128458883613348,0.00023631660733371972
75,0.00012090830132365227,0.0002449332969263196
76,0.00012379169929772617,0.00025217090733349324
77,0.00012650000862777234,0.0002501582959666848
78,0.0001248084008693695,0.0002690125023946166
79,0.000132116605527699,0.0002639790996909142
80,0.00013331659138202668,0.0002710167085751891
81,0.00014345841482281684,0.0002764916978776455
82,0.00013810410164296627,0.00028691659681499
83,0.0001398791093379259,0.0002984791062772274
84,0.00014717499725520612,0.0002967083128169179
85,0.0001482791965827346,0.00030343339312821627
86,0.00015645001549273728,0.0003199375001713634
87,0.00016094159800559283,0.0003282999852672219
88,0.0001612749882042408,0.00035357079468667507
89,0.0001745459157973528,0.0003351832972839475
90,0.00016699580010026693,0.0003395291045308113
91,0.00018294579349458217,0.0003673583967611194
92,0.00017173751257359982,0.00036504578310996293
93,0.00018095001578330994,0.0003640415845438838
94,0.0001852999906986952,0.0003822708036750555
95,0.0001897208159789443,0.00039667082019150256
96,0.00019158339127898217,0.0003963625058531761
97,0.0002041416009888053,0.0004180333809927106
98,0.0002067832974717021,0.0004157124785706401
99,0.00019867920782417058,0.00041315830312669275
100,0.00020794998854398728,0.00043765001464635134
101,0.00020592089276760817,0.00043897919822484256
102,0.0002213583094999194,0.0004311749944463372
103,0.0002213250147178769,0.00046057498548179865
104,0.00022563750389963387,0.00046985840890556574
105,0.00022440419998019933,0.00045597078278660776
106,0.0002447166945785284,0.000464612478390336
107,0.00023024170659482479,0.0004986834013834595
108,0.0002499499823898077,0.0005013082874938846
109,0.00025049999821931125,0.0004917792044579983
