N,Function 1 (s),Function 2 (s),Function 3 (s)
162,0.0010522374883294105,0.0017383042024448514,0.0009105708915740252
163,0.0010786290979012847,0.0018573249923065304,0.0009194040903821588
164,0.0011106417048722505,0.0018524790881201624,0.0008922416949644685
165,0.0011008000001311302,0.0018478082958608866,0.0009217416867613792
166,0.0011191332945600153,0.00191191250924021,0.0009146708063781262
167,0.001147200004197657,0.0019068290945142507,0.00093731670640409
168,0.0011423916090279817,0.0018502582795917987,0.0009182624984532594
169,0.0011223959038034082,0.001935533294454217,0.0009610666893422604
170,0.0011614291928708554,0.0019502624869346618,0.0009748457930982112
171,0.0011693957960233093,0.0019754125038161873,0.0009944209130480885
172,0.001221399987116456,0.002033795788884163,0.001008729194290936
173,0.001185666606761515,0.002040945808403194,0.0010102916974574327
174,0.0011926708044484257,0.002044304204173386,0.0010109583847224713
175,0.0012446874985471367,0.002126058307476342,0.0010665958048775791
176,0.0012492791982367634,0.002071666717529297,0.0010441208025440574
177,0.0012587917037308217,0.002109550009481609,0.0010552332969382405
178,0.0012682166881859303,0.0021340500097721815,0.0010626124916598202
179,0.0012806124985218048,0.002140679210424423,0.0010777499992400408
180,0.0012984416913241147,0.0021978541975840927,0.0010984500171616674
181,0.0013336750213056802,0.002225191704928875,0.0010623582871630787
182,0.0012978167040273547,0.0022284625098109244,0.0011035041185095905
183,0.0013335125055164098,0.0022918666945770383,0.0011631666915491224
184,0.0014017208013683558,0.0023086583008989693,0.001138741709291935
185,0.0013679667143151164,0.0023030082928016784,0.0011484083952382207
186,0.0013768041972070932,0.002340200007893145,0.0011629374930635095
187,0.0014056167099624872,0.0023988583125174046,0.001226270804181695
188,0.0014579208102077246,0.0024023875128477814,0.0011833458207547664
189,0.0014227250125259162,0.002398087503388524,0.001199870789423585
190,0.001442254101857543,0.0024421166861429812,0.0012139625148847699
191,0.0014585540862753986,0.002458449988625944,0.0012198125012218952
192,0.0014860291965305805,0.0025566166965290903,0.0012790459208190442
193,0.001497662509791553,0.0024515041848644616,0.001242291578091681
194,0.0015014125034213065,0.002539599989540875,0.0012573790969327091
195,0.0015256375074386597,0.0025825874879956247,0.001278374996036291
196,0.0015665125101804733,0.0026378792012110353,0.0012913708807900548
197,0.0015493666986003518,0.0026139749912545084,0.0013085084035992622
198,0.0015624874969944358,0.0026386665878817437,0.0013119749957695604
199,0.0015739165944978594,0.002728270902298391,0.0013512209057807921
200,0.0016231624875217676,0.0027597625041380523,0.0013661333126947285
201,0.0016354457940906287,0.0027338000014424323,0.001396691706031561
202,0.0016759542049840093,0.0027949624927714467,0.0013527333037927746
203,0.0016227709129452705,0.0027069415897130965,0.001364966598339379
204,0.0016730416100472212,0.002846425003372133,0.0014337875181809068
205,0.0017077000113204122,0.00283308329526335,0.0014194665942341088
206,0.0017590957926586271,0.0029507291968911887,0.001432779198512435
207,0.0017176958033815026,0.0029688790906220674,0.0014862540876492858
208,0.001826358400285244,0.0029154707910493015,0.0014490375062450767
209,0.0017476750072091818,0.002949583320878446,0.0015078957891091704
210,0.0018250332912430167,0.003031945787370205,0.0014847040874883533
211,0.0017997708870097994,0.0030191791942343117,0.0014879708178341389
212,0.0018640832975506782,0.003111912519671023,0.0015034874901175498
213,0.001760691707022488,0.0030350750079378487,0.001526779099367559
214,0.0018412374891340732,0.003185374988242984,0.0015895500080659985
215,0.0019201582996174692,0.0031864084070548416,0.0015497707994654776
216,0.0018680125009268521,0.0031800082884728908,0.0015847958158701659
217,0.001920149987563491,0.0032254000194370746,0.0016090207966044546
218,0.0019343290943652392,0.0032552999909967184,0.0016291917068883776
219,0.0019702999852597713,0.0033343750052154063,0.0016160666011273861
220,0.001982645899988711,0.0033255749847739937,0.0016097665997222067
221,0.0018936832901090383,0.0033045750111341476,0.0017025124980136752
222,0.002023500017821789,0.003395950002595782,0.0016396000050008298
223,0.0019799874862655997,0.0033298624912276864,0.0016591791063547134
224,0.0020390999969094993,0.003454716713167727,0.0017229542136192322
225,0.0020522332983091474,0.003482479089871049,0.0017352374969050288
226,0.0020943749928846954,0.0034984208876267077,0.0017224624985828995
227,0.0020542291924357413,0.003506950009614229,0.0017464416101574897
228,0.0021093500079587104,0.003520045895129442,0.0017399041913449763
229,0.0020989249926060436,0.0035140417050570248,0.001751387515105307
230,0.002109704096801579,0.0035719166044145823,0.0018168041948229074
231,0.0022106166929006577,0.0036845792084932326,0.0018321249866858126
232,0.002169337496161461,0.0036494999891147017,0.0018219041172415017
233,0.00217574171256274,0.0036713375011458993,0.0018645833944901824
234,0.0022204125067219137,0.003783600009046495,0.0018744499888271094
235,0.00224999999627471,0.003762037493288517,0.0018721790984272957
236,0.0021904041059315205,0.003636508388444781,0.0018976457882672547
237,0.002291537495329976,0.0038522541988641025,0.0019326208857819438
238,0.0023078042082488536,0.0038383583072572947,0.0019080790923908352
239,0.0022874749964103104,0.003852541698142886,0.0019473000196740032
240,0.0023417457938194274,0.003954541706480086,0.0019759958144277335
241,0.0023906500078737735,0.003988141589798033,0.0020108332857489584
242,0.0024093500105664134,0.00399529580026865,0.0019323791842907668
243,0.0023201541975140572,0.003978062490932644,0.0019785624928772448
244,0.0023860791930928825,0.004092404199764132,0.0020417749881744387
245,0.002432458312250674,0.004098762501962483,0.0020574333146214487
246,0.0024692707927897574,0.004111337498761714,0.002040229202248156
247,0.002462345897220075,0.004159320797771216,0.0020890374900773166
248,0.002478708396665752,0.004192341701127589,0.0020681458059698342
249,0.002509825001470745,0.004208449996076525,0.002116812486201525
250,0.002562079206109047,0.004295529215596616,0.0021121167112141846
251,0.0025616457918658853,0.004297812492586673,0.0021190416999161245
252,0.002589425002224743,0.004328358289785683,0.0021697124931961296
253,0.0025851208018139006,0.004353783396072686,0.0022063457872718573
254,0.0026542749954387547,0.004343058308586478,0.002157870796509087
255,0.002614945895038545,0.004330349992960692,0.002160445787012577
256,0.002630754210986197,0.00451238751411438,0.00225184999871999
257,0.0026844166219234466,0.004462720802985131,0.0022768249968066812
258,0.002762533281929791,0.004582262504845858,0.00222318337764591
259,0.0027097292011603715,0.004638195806182921,0.002336716698482633
260,0.0027484750142320992,0.004559583310037851,0.002338295802474022
261,0.0027058541076257826,0.004476808290928602,0.0023426707834005357
262,0.002790933405049145,0.004635729198344052,0.0023506125202402473
263,0.0028042417019605637,0.004741262504830956,0.0023512874962762
264,0.002791220787912607,0.0047107292106375095,0.0023566791089251636
265,0.002832829090766609,0.004771358286961913,0.0023459041956812145
266,0.002909791702404618,0.004814129183068871,0.002320837485603988
267,0.0028575834119692447,0.00481128750834614,0.0023962457897141578
268,0.002968154102563858,0.0049789499957114455,0.002436112496070564
269,0.0029104291927069424,0.004952166695147753,0.0024880832992494107
270,0.0029909583972766995,0.0050343458075076345,0.0024857458891347052
271,0.002999766613356769,0.005087604187428952,0.002532120910473168
272,0.002967141708359122,0.004969304194673896,0.002508829184807837
273,0.002970674983225763,0.005058400006964803,0.0025570916943252085
274,0.0030626165913417935,0.005048112501390279,0.0025742124998942018
275,0.0031147666042670606,0.005163483298383653,0.002589145884849131
276,0.0031033790903165935,0.00517927089240402,0.00258434999268502
277,0.0031081208027899264,0.005149683402851224,0.002541512483730912
278,0.0030868542147800327,0.005331425019539893,0.002589912503026426
279,0.003148874989710748,0.0053613499971106645,0.0026796959107741715
280,0.00311941250693053,0.005381083302199841,0.0027136916993185877
281,0.003221399988979101,0.005315341614186763,0.0027333708014339207
282,0.0032187457894906403,0.005283141718246042,0.0027193583082407713
283,0.0032753166975453495,0.005401112511754036,0.002653195895254612
284,0.0032979541923850776,0.005496629211120307,0.0027791041880846023
285,0.003298391681164503,0.005529149994254112,0.002751199994236231
286,0.003335712500847876,0.005615424993447959,0.002773974998854101
287,0.003333012503571808,0.005567583302035928,0.002865320793353021
288,0.0034634958021342753,0.005710100010037422,0.0027733500115573405
289,0.0034388459054753183,0.00575506251771003,0.0028583292150869966
290,0.0034009791910648347,0.0057719666976481674,0.0028360958909615873
291,0.0034436332993209363,0.00579842091538012,0.0028465874958783386
292,0.0034133833134546874,0.005851599993184209,0.00295051250141114
293,0.003535895794630051,0.005865937494672835,0.00291702919639647
294,0.003486108290962875,0.005823366693221033,0.0029220999917015434
295,0.003525954205542803,0.005950783309526741,0.002926279092207551
296,0.0035165166016668083,0.005883608292788267,0.002967816591262817
297,0.00353991249576211,0.005976983299478889,0.0029759957920759915
298,0.00358261251822114,0.0060162917012348775,0.0030000084079802036
299,0.0036050332942977547,0.0061356833204627035,0.00301224160939455
300,0.003753258311189711,0.006036720890551806,0.0030428291065618396
